ModelID,COSMICID,CellLineName,OncotreeLineage,OncotreePrimaryDisease
ACH-000586,1330972.0,NCI-H1876,Lung,Lung Neuroendocrine Tumor
ACH-000587,924244.0,NCI-H1975,Lung,Non-Small Cell Lung Cancer
ACH-000589,687794.0,NCI-H1437,Lung,Non-Small Cell Lung Cancer
ACH-000595,1240169.0,LN-229,CNS/Brain,Diffuse Glioma
ACH-000596,946361.0,LCLC-97TM1,Lung,Non-Small Cell Lung Cancer
ACH-000599,1298526.0,PA-TU-8902,Pancreas,Pancreatic Adenocarcinoma
ACH-000601,724870.0,MIA PaCa-2,Pancreas,Pancreatic Adenocarcinoma
ACH-000603,753534.0,BEN,Lung,Non-Small Cell Lung Cancer
ACH-000605,946355.0,TE-6,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000607,1240166.0,KYM-1,Soft Tissue,Rhabdomyosarcoma
ACH-000609,909712.0,SF126,CNS/Brain,Diffuse Glioma
ACH-000610,688018.0,NCI-H2227,Lung,Lung Neuroendocrine Tumor
ACH-000611,1331037.0,SU-DHL-6,Lymphoid,Mature B-Cell Neoplasms
ACH-000613,907060.0,HOS,Bone,Osteosarcoma
ACH-000614,909706.0,RVH-421,Skin,Melanoma
ACH-000615,905954.0,SK-MEL-28,Skin,Melanoma
ACH-000616,1240151.0,Hs 746T,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000617,905990.0,OVCAR-4,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000619,1240207.0,PE/CA-PJ15,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000620,1298151.0,JHH-1,Liver,Hepatocellular Carcinoma
ACH-000621,925338.0,MDA-MB-157,Breast,Invasive Breast Carcinoma
ACH-000622,907282.0,KNS-42,CNS/Brain,Diffuse Glioma
ACH-000624,907047.0,HCC1806,Breast,Breast Ductal Carcinoma In Situ
ACH-000625,1240147.0,Hep 3B2.1-7,Liver,Hepatocellular Carcinoma
ACH-000626,753615.0,U266B1,Lymphoid,Mature B-Cell Neoplasms
ACH-000627,753586.0,LCLC-103H,Lung,Non-Small Cell Lung Cancer
ACH-000628,908459.0,NCI-H596,Lung,Non-Small Cell Lung Cancer
ACH-000631,907313.0,KS-1,CNS/Brain,Diffuse Glioma
ACH-000633,1290806.0,FU97,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000636,909702.0,RPMI-8402,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000637,753575.0,KYSE-520,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000638,908460.0,NCI-H441,Lung,Non-Small Cell Lung Cancer
ACH-000639,1240189.0,NCI-H211,Lung,Lung Neuroendocrine Tumor
