ModelID,COSMICID,CellLineName,OncotreeLineage,OncotreePrimaryDisease
ACH-002263,1240167.0,KYSE-220,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-002264,1298222.0,KYSE-50,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-002265,753583.0,LB771-HNC,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-002266,753584.0,LB831-BLC,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-002267,907787.0,LC4-1,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-002268,910694.0,LN-405,CNS/Brain,Diffuse Glioma
ACH-002269,1240170.0,LNZTA3WT4,CNS/Brain,Diffuse Glioma
ACH-002271,925343.0,MFH-ino,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma
ACH-002272,908136.0,MHH-PREB-1,Lymphoid,Non-Hodgkin Lymphoma
ACH-002273,908141.0,ML-2,Myeloid,Acute Myeloid Leukemia
ACH-002274,908142.0,MLMA,Lymphoid,Mature B-Cell Neoplasms
ACH-002275,908143.0,MN-60,Lymphoid,Mature B-Cell Neoplasms
ACH-002276,1330960.0,MY-M12,Myeloid,Acute Leukemias of Ambiguous Lineage
ACH-002277,1240181.0,NB(TU)1-10,Peripheral Nervous System,Neuroblastoma
ACH-002278,949171.0,NB10,Peripheral Nervous System,Neuroblastoma
ACH-002279,949172.0,NB12,Peripheral Nervous System,Neuroblastoma
ACH-002280,949177.0,NB13,Peripheral Nervous System,Neuroblastoma
ACH-002281,949178.0,NB14,Peripheral Nervous System,Neuroblastoma
ACH-002282,949175.0,NB17,Peripheral Nervous System,Neuroblastoma
ACH-002283,949176.0,NB5,Peripheral Nervous System,Neuroblastoma
ACH-002284,949173.0,NB6,Peripheral Nervous System,Neuroblastoma
ACH-002285,949174.0,NB7,Peripheral Nervous System,Neuroblastoma
ACH-002288,910942.0,NEC8,Testis,Non-Seminomatous Germ Cell Tumor
ACH-002289,1330981.0,NK-92MI,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-002290,908448.0,NKM-1,Myeloid,Acute Myeloid Leukemia
ACH-002291,908454.0,NTERA-2 cl.D1,Testis,Non-Seminomatous Germ Cell Tumor
ACH-002292,1503362.0,OACp4C,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-002293,1330987.0,P32-ISH,Lymphoid,Mature B-Cell Neoplasms
ACH-002294,1240204.0,PCI-15A,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-002295,1298529.0,PCI-30,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-002297,1298531.0,PCI-4B,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-002298,1240206.0,PCI-6A,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-002299,910545.0,QIMR-WIL,Myeloid,Acute Myeloid Leukemia
ACH-002300,910401.0,Ramos-2G6-4C10,Lymphoid,Mature B-Cell Neoplasms
ACH-002301,909697.0,RF-48,Lymphoid,Non-Hodgkin Lymphoma
ACH-002302,910544.0,RPMI-8866,Myeloid,Myeloproliferative Neoplasms
ACH-002304,909729.0,SK-MG-1,CNS/Brain,Diffuse Glioma
ACH-002305,1299059.0,SKN-3,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-002306,1299061.0,STS-0421,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-002307,1331034.0,SU-DHL-16,Lymphoid,Non-Hodgkin Lymphoma
ACH-002308,910209.0,SUP-B8,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-002309,909754.0,SW684,Soft Tissue,Fibrosarcoma
ACH-002310,909756.0,SW872,Soft Tissue,Liposarcoma
ACH-002311,946356.0,TE-12,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-002312,910695.0,TGBC24TKB,Biliary Tract,Intracholecystic Papillary Neoplasm
ACH-002313,1331045.0,TK,Lymphoid,Non-Hodgkin Lymphoma
ACH-002314,909773.0,TUR,Myeloid,Acute Myeloid Leukemia
ACH-002316,1331049.0,WIL2-NS,Myeloid,Hereditary Spherocytosis
ACH-002317,946358.0,YT,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
