model,split,n_seeds,PCC_mean,PCC_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MSE_mean,MSE_std,Spearman_mean,Spearman_std,R2_mean,R2_std,Per-drug PCC_mean,Per-drug PCC_std,Per-cell PCC_mean,Per-cell PCC_std,ECE_mean,ECE_std
graphdrp,random,5,0.9366024494171142,0.0012435807398088453,0.9673839635127519,0.011273583292784823,0.7142298221588135,0.004132559907584392,0.9359588265419005,0.021825816610804676,0.9018156797557566,0.0012067400975767665,0.8768700242042542,0.0023039439708263387,0.7522248387336731,0.004212546829458408,0.9180615305900574,0.0025416302443688364,,
pathxdrp,random,5,0.9301933169364929,0.0015491199802481824,1.0175558774267508,0.011074458077458023,0.7433672070503234,0.007079952301339052,1.035542607307434,0.022434673400584092,0.8933200913348778,0.0013802917218477594,0.8637543559074402,0.0030303828805808373,0.7301261067390442,0.005142039286601419,0.9102246522903442,0.0020446617088222515,0.24401516799840872,0.04334167153733696
cdrscan,scaffold_blind,5,0.3851622223854065,0.11726977439154007,2.767645876146448,0.20212028356553338,2.0678713798522947,0.20026779008626044,7.700716304779053,1.143299285847703,0.34612962230994493,0.06440470971249566,0.12661932706832885,0.10681118346105506,0.6364923596382142,0.03446280920654177,0.2264671117067337,0.13937768852887414,,
drpreter,scaffold_blind,5,0.5303940534591675,0.11215447206203397,2.5612463489899366,0.21847912473483314,1.9256226539611816,0.14230694016164547,6.607715988159179,1.1261926857832738,0.4651499611061825,0.08480111579363823,0.23894808292388917,0.18535660345566,0.5533312618732452,0.07952825195911592,0.4730313837528229,0.1122920321502759,,
graphdrp,scaffold_blind,5,0.5478152155876159,0.10574551899027208,2.5393188418942723,0.22138838105005454,1.9494397640228271,0.12096895323387939,6.4971529960632335,1.0866109444666636,0.45879402017980275,0.06398693871158846,0.25247381925582885,0.1737752857287595,0.6289124250411987,0.03397440831199726,0.47299571633338927,0.11467922254055277,,
pathxdrp,scaffold_blind,5,0.5526812374591827,0.13702885482846353,2.5128761234303707,0.27324941529056906,1.8863751888275146,0.16454421221533516,6.389211654663087,1.3935550209910088,0.4724496777160399,0.09977314631839392,0.2605392813682556,0.22456710446749686,0.6213886380195618,0.021476606531084876,0.4719637125730515,0.16535592682984912,1.357808323475536,0.30451889344368177
cdrscan,tissue_blind,5,0.8706164717674255,0.0016657927706943585,1.3961476046438195,0.025267037194775507,1.0714911699295044,0.023320231988659523,1.9498665571212768,0.0701218801978511,0.822073700115468,0.0026051625980645773,0.7522598028182983,0.005924717441318192,0.32771092653274536,0.02239639937776189,0.8985435485839843,0.00154278484911473,,
drpreter,tissue_blind,5,0.8491578578948975,0.003550496415378577,1.5589457331094154,0.06136609719035593,1.1965915441513062,0.05832194684998331,2.434077596664429,0.19590416355788492,0.7936765165809051,0.004144440286271821,0.6910573363304138,0.018109401207862377,0.06988638378679753,0.03978893180728634,0.8929434776306152,0.0025700937206500464,,
graphdrp,tissue_blind,5,0.8621781468391418,0.004443752777951597,1.447159523533669,0.028475138741903657,1.1124296188354492,0.02145378821813713,2.0950815200805666,0.08284410492084188,0.8120894066947464,0.005321660569216967,0.7335947990417481,0.012982739092190386,0.23274319022893905,0.073756661096465,0.8964061617851258,0.002291646534236953,,
pathxdrp,tissue_blind,5,0.8482198357582093,0.004065291491062427,1.5254182751998175,0.027909822629879337,1.1530365943908691,0.01980715691579623,2.3276798725128174,0.08527618233399864,0.7947609385369772,0.0040802694737077806,0.7041456937789917,0.0108208250948918,0.06460609789937735,0.0487670240782204,0.893067228794098,0.002532981146220787,0.47321827152896623,0.09708916766187774
