split,baseline,seed,scheme,n_rows,n_drugs,n_cells,n_scaffolds,delta,se,lo,hi,p,significant
cell_blind,drpreter,1,drug,15052,247,139,222,-0.006747054146628129,0.0015605728393427892,-0.010153273869539783,-0.003964036952986076,0.001,True
cell_blind,drpreter,1,cell,15052,247,139,222,-0.006747054146628129,0.003969924840982965,-0.014647674936751082,0.0011272949496616115,0.089,False
cell_blind,drpreter,1,scaffold,15052,247,139,222,-0.006747054146628129,0.0014729406669505747,-0.010025769431362925,-0.0040999528431378916,0.001,True
cell_blind,drpreter,1,twoway,15052,247,139,222,-0.006747054146628129,0.004142406786985541,-0.01486617144911979,0.001372063155863532,0.10336037608599714,False
cell_blind,drpreter,2,rows,15052,247,139,222,0.002681140372540969,0.0009931649369900489,0.0008263409856072934,0.004613886666909242,0.004,True
cell_blind,drpreter,2,drug,15052,247,139,222,0.002681140372540969,0.001671446433179035,-0.0004956171904850482,0.0060113687855343585,0.107,False
cell_blind,drpreter,2,cell,15052,247,139,222,0.002681140372540969,0.0034863552854688448,-0.00462582787900617,0.009262761878037347,0.443,False
cell_blind,drpreter,2,scaffold,15052,247,139,222,0.002681140372540969,0.0016993715314120156,-0.0008866602115012362,0.0059145789779403045,0.144,False
cell_blind,drpreter,2,twoway,15052,247,139,222,0.002681140372540969,0.0037365799554454904,-0.004642556340132192,0.01000483708521413,0.4730418241690307,False
cell_blind,drpreter,3,rows,15052,247,139,222,0.012782533549369868,0.0013506670593731909,0.01012086064744495,0.015459327996851534,0.001,True
cell_blind,drpreter,3,drug,15052,247,139,222,0.012782533549369868,0.002104610258507933,0.008821271458576715,0.01713948353757264,0.001,True
cell_blind,drpreter,3,cell,15052,247,139,222,0.012782533549369868,0.005353022452154193,0.0026797339111598456,0.0232427867389832,0.014,True
cell_blind,drpreter,3,scaffold,15052,247,139,222,0.012782533549369868,0.0019586248465971426,0.009450079858785765,0.017082264174203308,0.001,True
cell_blind,drpreter,3,twoway,15052,247,139,222,0.012782533549369868,0.0055910582368821635,0.0018240594050808277,0.02374100769365891,0.02223988129484625,True
cell_blind,drpreter,4,rows,15052,247,139,222,-0.0016564602298777542,0.0009782457665926188,-0.003531110785991551,0.00017405355611412683,0.079,False
cell_blind,drpreter,4,drug,15052,247,139,222,-0.0016564602298777542,0.0017488142452854732,-0.00497174555945829,0.0016911136127642182,0.359,False
