split,baseline,seed,scheme,n_rows,n_drugs,n_cells,n_scaffolds,delta,se,lo,hi,p,significant
cell_blind,cdrscan,0,twoway,15052,247,139,222,-0.027176439845512212,0.006958772963815105,-0.04081563485458982,-0.013537244836434606,9.408933848513075e-05,True
drug_blind,drpreter,0,rows,15032,49,697,48,-0.0821213079399663,0.008460266438985438,-0.09856630515758584,-0.06539434547982231,0.001,True
drug_blind,drpreter,0,drug,15032,49,697,48,-0.0821213079399663,0.12897907081240745,-0.3377810919022961,0.14926884076256614,0.591,False
drug_blind,drpreter,0,cell,15032,49,697,48,-0.0821213079399663,0.006859252797795641,-0.09598154409690715,-0.06892967612937824,0.001,True
drug_blind,drpreter,0,scaffold,15032,49,697,48,-0.0821213079399663,0.13126884277261422,-0.36202072392807716,0.1394720323233321,0.595,False
drug_blind,drpreter,0,twoway,15032,49,697,48,-0.0821213079399663,0.12888395535658215,-0.3347338604388673,0.17049124455893472,0.5240125090094984,False
drug_blind,graphdrp,0,rows,15032,49,697,48,-0.10869007504058226,0.005714624401761539,-0.12031899358792823,-0.09776608560867946,0.001,True
drug_blind,graphdrp,0,drug,15032,49,697,48,-0.10869007504058226,0.08245056787153533,-0.2835826304422208,0.03971138541975772,0.191,False
drug_blind,graphdrp,0,cell,15032,49,697,48,-0.10869007504058226,0.004908451839897764,-0.11826474160554101,-0.0991782729253883,0.001,True
drug_blind,graphdrp,0,scaffold,15032,49,697,48,-0.10869007504058226,0.08275229467921714,-0.2747515168042307,0.03987817309733717,0.191,False
drug_blind,graphdrp,0,twoway,15032,49,697,48,-0.10869007504058226,0.0823986171592099,-0.27019136467263366,0.05281121459146915,0.18714355686914175,False
drug_blind,cdrscan,0,rows,15032,49,697,48,-0.1789141272467334,0.005490814341887281,-0.19009027612096083,-0.16847921378861844,0.001,True
drug_blind,cdrscan,0,drug,15032,49,697,48,-0.1789141272467334,0.07401747465931544,-0.3207295255225166,-0.03774024546661458,0.004,True
drug_blind,cdrscan,0,cell,15032,49,697,48,-0.1789141272467334,0.0049146082912885705,-0.18812101236409742,-0.1694727285192159,0.001,True
drug_blind,cdrscan,0,scaffold,15032,49,697,48,-0.1789141272467334,0.07284860447245302,-0.3317338791589351,-0.04997513782467232,0.002,True
drug_blind,cdrscan,0,twoway,15032,49,697,48,-0.1789141272467334,0.07397696186963972,-0.3239089725112272,-0.03391928198223956,0.015584156289718161,True
scaffold_blind,drpreter,0,rows,15246,49,697,44,0.03130530544779048,0.00739501665312395,0.016906441173952083,0.04622411913882991,0.001,True
scaffold_blind,drpreter,0,drug,15246,49,697,44,0.03130530544779048,0.11294759186426391,-0.1638736435494656,0.2731095586033502,0.894,False
scaffold_blind,drpreter,0,cell,15246,49,697,44,0.03130530544779048,0.006430185912595199,0.019011355366625866,0.04470930513167651,0.001,True
scaffold_blind,drpreter,0,scaffold,15246,49,697,44,0.03130530544779048,0.11825982844821559,-0.1881991352206937,0.2665716911468326,0.818,False
scaffold_blind,drpreter,0,twoway,15246,49,697,44,0.03130530544779048,0.11288852699679845,-0.18995620746593447,0.2525668183615154,0.7815408028511388,False
scaffold_blind,graphdrp,0,rows,15246,49,697,44,-0.07240603652039829,0.007777970538919916,-0.08739733096812133,-0.05665925629676074,0.001,True
scaffold_blind,graphdrp,0,drug,15246,49,697,44,-0.07240603652039829,0.12454138319531173,-0.3042325342048329,0.1834402407537021,0.574,False
scaffold_blind,graphdrp,0,cell,15246,49,697,44,-0.07240603652039829,0.006245681182821955,-0.08414653003544259,-0.06019647492998643,0.001,True
scaffold_blind,graphdrp,0,scaffold,15246,49,697,44,-0.07240603652039829,0.1432062558538618,-0.34630893995741124,0.2143383830713021,0.573,False
scaffold_blind,graphdrp,0,twoway,15246,49,697,44,-0.07240603652039829,0.12445508360824248,-0.31633800039255355,0.17152592735175698,0.5607118569637656,False
