split,seed,method,auroc,spearman,sel_gain
cell_blind,4,expression distance,0.487373808886038,-0.029716324351991775,-0.021503550697069773
drug_blind,0,evidential sigma,0.6244605972399913,0.26833853403888625,0.2504433489926088
drug_blind,0,extremeness,0.5434414388208828,0.1153015032451533,0.17011043020096162
drug_blind,0,drug rarity,0.5,,-0.001160468281126148
drug_blind,0,cell rarity,0.48987611243963913,-0.018232058739557435,-0.01862260787519565
drug_blind,0,expression distance,0.5,,-0.001160468281126148
drug_blind,1,evidential sigma,0.588885461945862,0.20445022929014886,0.19438829490427023
drug_blind,1,extremeness,0.5546437336024818,0.12720487537554942,0.03846526435380038
drug_blind,1,drug rarity,0.5,,-0.005746231706339255
drug_blind,1,cell rarity,0.4854311865749025,-0.024643243623913867,-0.009607641387475274
drug_blind,1,expression distance,0.5,,-0.005746231706339255
drug_blind,2,evidential sigma,0.4665785016091979,-0.051401061623913905,0.1763773200335772
drug_blind,2,extremeness,0.5767901813013558,0.19756359086203676,0.3092473426759358
drug_blind,2,drug rarity,0.5,,-0.018789169505676773
drug_blind,2,cell rarity,0.4825481672449846,-0.028890072524788778,-0.04962145577186705
drug_blind,2,expression distance,0.5,,-0.018789169505676773
drug_blind,3,evidential sigma,0.48645469052220264,0.006661065380293329,0.09023221661714886
drug_blind,3,extremeness,0.5202515456824979,0.03217664838784302,-0.04910590975289253
drug_blind,3,drug rarity,0.5,,0.01883364936911025
drug_blind,3,cell rarity,0.4759823446365688,-0.041528898574714444,-0.02411492095505774
drug_blind,3,expression distance,0.5,,0.01883364936911025
drug_blind,4,evidential sigma,0.5431061509085744,0.12529895890698312,0.17764500689204799
drug_blind,4,extremeness,0.5417136541211638,0.097271520616143,0.08359907913444908
drug_blind,4,drug rarity,0.5,,-0.01280947024349377
drug_blind,4,cell rarity,0.48497706400905666,-0.018739835659853998,-0.015277489733783955
drug_blind,4,expression distance,0.5,,-0.01280947024349377
scaffold_blind,0,evidential sigma,0.5451337752149887,0.09049686123933796,0.02446191839685663
scaffold_blind,0,extremeness,0.5369624028884878,0.08424047873667564,0.025450048833124517
scaffold_blind,0,drug rarity,0.5,,-0.002859892437655942
scaffold_blind,0,cell rarity,0.48960570195946385,-0.018253087719691773,-0.005322334348780711
scaffold_blind,0,expression distance,0.5,,-0.002859892437655942
scaffold_blind,1,evidential sigma,0.5878111362607514,0.192995552642845,0.17145732256586288
scaffold_blind,1,extremeness,0.5160162366078166,0.08210311885682697,0.19006548009402846
scaffold_blind,1,drug rarity,0.5,,-0.013663456502563509
scaffold_blind,1,cell rarity,0.5037638549368745,0.004073339241418546,-0.01716959646530647
scaffold_blind,1,expression distance,0.5,,-0.013663456502563509
scaffold_blind,2,evidential sigma,0.4661538499635165,-0.09169533288619643,-0.11765529511958683
scaffold_blind,2,extremeness,0.5373206550025089,0.08560487960361972,0.06615893196157296
