split,seed,coverage,budget,prec_naive,prec_uncertainty,delta,rel_gain
tissue_blind,2,0.3,1000,0.536,0.062,-0.47400000000000003,-0.8843283582089553
tissue_blind,2,0.5,100,0.9,0.89,-0.010000000000000009,-0.01111111111111112
tissue_blind,2,0.5,500,0.796,0.252,-0.544,-0.6834170854271356
tissue_blind,2,0.5,1000,0.536,0.129,-0.40700000000000003,-0.7593283582089553
tissue_blind,2,0.7,100,0.9,0.95,0.04999999999999993,0.05555555555555548
tissue_blind,2,0.7,500,0.796,0.412,-0.38400000000000006,-0.4824120603015076
tissue_blind,2,0.7,1000,0.536,0.221,-0.31500000000000006,-0.5876865671641792
tissue_blind,3,0.3,100,0.96,0.61,-0.35,-0.3645833333333333
tissue_blind,3,0.3,500,0.816,0.13,-0.6859999999999999,-0.8406862745098039
tissue_blind,3,0.3,1000,0.542,0.065,-0.47700000000000004,-0.8800738007380073
tissue_blind,3,0.5,100,0.96,0.92,-0.039999999999999925,-0.04166666666666659
tissue_blind,3,0.5,500,0.816,0.282,-0.534,-0.6544117647058825
tissue_blind,3,0.5,1000,0.542,0.15,-0.392,-0.7232472324723247
tissue_blind,3,0.7,100,0.96,0.96,0.0,0.0
tissue_blind,3,0.7,500,0.816,0.478,-0.33799999999999997,-0.4142156862745098
tissue_blind,3,0.7,1000,0.542,0.26,-0.28200000000000003,-0.5202952029520296
tissue_blind,4,0.3,100,0.96,0.26,-0.7,-0.7291666666666666
tissue_blind,4,0.3,500,0.804,0.052,-0.752,-0.9353233830845771
tissue_blind,4,0.3,1000,0.54,0.026,-0.514,-0.9518518518518518
tissue_blind,4,0.5,100,0.96,0.73,-0.22999999999999998,-0.23958333333333331
tissue_blind,4,0.5,500,0.804,0.174,-0.6300000000000001,-0.7835820895522388
tissue_blind,4,0.5,1000,0.54,0.09,-0.45000000000000007,-0.8333333333333334
tissue_blind,4,0.7,100,0.96,0.92,-0.039999999999999925,-0.04166666666666659
tissue_blind,4,0.7,500,0.804,0.384,-0.42000000000000004,-0.5223880597014926
tissue_blind,4,0.7,1000,0.54,0.201,-0.339,-0.6277777777777778
