model,split,seed,fold,run_tag,RMSE,MAE,PCC,Spearman,R2,Per-drug PCC,Per-cell PCC,best_val_pcc,best_val_epoch,total_train_sec,n_params,ECE,sel_RMSE@50,sel_RMSE@70,sel_RMSE@90,sel_RMSE@100,epistemic_mean,aleatoric_mean
drpreter,cell_blind,1,0,,1.4030165479585477,1.0596822500228882,0.8686923980712891,0.8182189366221418,0.7528905272483826,0.3483349680900574,0.8918575048446655,0.8653552532196045,4,1767.2423391342163,627073,,,,,,,
drpreter,cell_blind,2,0,,1.4809622634005415,1.1220401525497437,0.860801100730896,0.8092416612698431,0.7265059351921082,0.3442755341529846,0.8833887577056885,0.8585571050643921,2,1512.4981150627136,627073,,,,,,,
drpreter,cell_blind,3,0,,1.4701705718176539,1.1133887767791748,0.8549380302429199,0.8006466980401744,0.728180468082428,0.2802119553089142,0.893314778804779,0.8541659116744995,11,2473.3497202396393,627073,,,,,,,
drpreter,cell_blind,4,0,,1.4989667353638696,1.1570760011672974,0.8653131723403931,0.8101466368441005,0.7175118923187256,0.3446374833583832,0.8868836164474487,0.8636521100997925,2,1398.04616355896,627073,,,,,,,
drpreter,drug_blind,0,0,,2.7357735681140007,2.1716158390045166,0.5399908423423767,0.45301385720340664,0.2113472819328308,0.5298739671707153,0.5038376450538635,0.5354251265525818,6,2146.4591529369354,627073,,,,,,,
drpreter,drug_blind,1,0,,2.628429352581353,2.017673969268799,0.5424942970275879,0.4542595799685944,0.2639910578727722,0.43742963671684265,0.5275977253913879,0.5487303733825684,3,1649.8209252357483,627073,,,,,,,
drpreter,drug_blind,2,0,,2.5508416301596935,2.024975299835205,0.5763692259788513,0.48440995162838413,0.31404656171798706,0.4395284056663513,0.5649264454841614,0.5856399536132812,3,1560.341671705246,627073,,,,,,,
drpreter,drug_blind,3,0,,2.417390868318463,1.9572290182113647,0.645618200302124,0.5372473055253805,0.3840503692626953,0.6542709469795227,0.5997554659843445,0.6433752179145813,40,6392.711690187454,627073,,,,,,,
drpreter,drug_blind,4,0,,2.6637716274376992,2.088075876235962,0.5792062282562256,0.45689655427006975,0.2506350874900818,0.416240930557251,0.5624378323554993,0.5775225162506104,3,1744.858879327774,627073,,,,,,,
drpreter,random,0,0,,1.0469062003425493,0.776486337184906,0.9274738430976868,0.887461844294572,0.8590835332870483,0.7098977565765381,0.9036879539489746,0.928912878036499,45,6381.381377458572,627073,,,,,,,
drpreter,random,1,0,,1.0679508523062236,0.7888991832733154,0.9230512380599976,0.8816268375840152,0.8510681986808777,0.6980020999908447,0.9001120328903198,0.9302589297294617,50,6216.454944610596,627073,,,,,,,
drpreter,random,2,0,,1.0439295540058278,0.7731593251228333,0.9256517291069031,0.887476961627707,0.8551872968673706,0.7105405926704407,0.9048439860343933,0.9306752681732178,46,6330.853133440018,627073,,,,,,,
drpreter,random,3,0,,1.0415145508642043,0.7760699391365051,0.9265432357788086,0.8832195706519443,0.8572901487350464,0.7063438296318054,0.9016766548156738,0.9342621564865112,47,5923.118831157684,627073,,,,,,,
drpreter,random,4,0,,1.0493488404385591,0.7871723175048828,0.9244968891143799,0.8827920800273871,0.8521005511283875,0.7034072875976562,0.9034522175788879,0.9319754838943481,50,6148.42557144165,627073,,,,,,,
drpreter,scaffold_blind,0,0,,2.8029814820564227,2.1273088455200195,0.43813472986221313,0.39059559699979274,0.17092877626419067,0.587303876876831,0.34736552834510803,0.4409344792366028,7,2170.8315274715424,627073,,,,,,,
drpreter,scaffold_blind,1,0,,2.8306719865729493,2.0414137840270996,0.36151671409606934,0.3536276389250213,-0.0916590690612793,0.4028368294239044,0.33386194705963135,0.3791581392288208,3,1748.6465148925781,627073,,,,,,,
drpreter,scaffold_blind,2,0,,2.4317971052813765,1.8107291460037231,0.6040689945220947,0.5480241157408575,0.3433629870414734,0.5481356978416443,0.5634260177612305,0.5986450910568237,11,2681.577274084091,627073,,,,,,,
drpreter,scaffold_blind,3,0,,2.2754415481828527,1.7423222064971924,0.6619590520858765,0.5704497272424517,0.42891961336135864,0.6280904412269592,0.6076937913894653,0.6705144643783569,21,7847.488111972809,627073,,,,,,,
drpreter,scaffold_blind,4,0,,2.4653396228560824,1.9063392877578735,0.5862907767295837,0.46305272662278923,0.3431881070137024,0.6002894639968872,0.5128096342086792,0.5890213251113892,8,2988.3447544574738,627073,,,,,,,
drpreter,tissue_blind,0,0,,1.5221143405087134,1.1717525720596313,0.8538991808891296,0.8009151207888027,0.7059574723243713,0.12069185078144073,0.8954893946647644,0.8478342294692993,6,3643.273918867111,627073,,,,,,,
drpreter,tissue_blind,1,0,,1.5097916022233548,1.1510075330734253,0.8484203815460205,0.7946956374288648,0.6987642645835876,0.09132935106754303,0.893609881401062,0.8551390171051025,20,4904.845728158951,627073,,,,,,,
drpreter,tissue_blind,2,0,,1.563427916609317,1.1952835321426392,0.8457051515579224,0.7931261032827032,0.6903302073478699,0.009269962087273598,0.8893659710884094,0.8496373891830444,2,1585.6957483291626,627073,,,,,,,
drpreter,tissue_blind,3,0,,1.5231636779407438,1.1558476686477661,0.8451451063156128,0.7909277693379704,0.7037652730941772,0.08786950260400772,0.8905535340309143,0.8535122275352478,6,2118.7295281887054,627073,,,,,,,
drpreter,tissue_blind,4,0,,1.6762311282649478,1.3090664148330688,0.852619469165802,0.7887179520661844,0.656469464302063,0.040271252393722534,0.895698606967926,0.8410001397132874,5,1985.8356659412384,627073,,,,,,,
graphdrp,drug_blind,0,0,,2.6179894883926154,1.9616223573684692,0.5371831655502319,0.4695701059428091,0.27779364585876465,0.6368446946144104,0.4648609161376953,0.5305246114730835,2,8503.813619613647,2859494,,,,,,,
graphdrp,random,0,0,,0.9793411701350633,0.7230964303016663,0.9363378286361694,0.9019582085154899,0.8766855001449585,0.7473282814025879,0.9175008535385132,0.9391566514968872,129,11274.760169029236,2859494,,,,,,,
graphdrp,cell_blind,0,0,,1.348137015128677,1.0183525085449219,0.8838163614273071,0.8349970015138762,0.7723685503005981,0.44251158833503723,0.8990247845649719,0.881623387336731,7,1199.9191663265228,2859494,,,,,,,
graphdrp,cell_blind,1,0,,1.321765528986493,0.9911991953849792,0.8838091492652893,0.8351157173269493,0.7806828022003174,0.4431014955043793,0.9016453623771667,0.8834691047668457,16,1892.236212015152,2859494,,,,,,,
graphdrp,cell_blind,2,0,,1.3196778888429188,0.9957534074783325,0.8848164677619934,0.8368249456232326,0.7828320264816284,0.43717852234840393,0.9056006669998169,0.8830784559249878,32,2949.658668756485,2859494,,,,,,,
graphdrp,cell_blind,3,0,,1.3591516245452633,1.0423648357391357,0.882476270198822,0.831947503472429,0.7676829695701599,0.4250650405883789,0.9029501676559448,0.8775638341903687,8,1282.3703265190125,2859494,,,,,,,
graphdrp,cell_blind,4,0,,1.3098827333597896,0.9886274337768555,0.8862001299858093,0.8338059227830333,0.7842847108840942,0.4538518786430359,0.9012327790260315,0.8845432996749878,8,1292.8196239471436,2859494,,,,,,,
